Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,goal_time_h,goal_time_a ,finished,red_cards_h,red_cards_a,BbAv>2.5,PSCH,PSCD,PSCA
E0,23/12/2017,Man City,Bournemouth,4,0,"27,53,79,85",,93,,,1.23,1.09,15,27
E0,23/12/2017,Southampton,Huddersfield,1,1,24,64,96,,,2.07,1.67,3.9,6.1
E0,23/12/2017,Stoke,West Brom,3,1,"19,45,94",51,95,,,2.34,2.37,3.17,3.53
E0,23/12/2017,Swansea,Crystal Palace,1,1,77,59,95,,,2.37,3.4,3.32,2.35
E0,23/12/2017,West Ham,Newcastle,2,3,"6,69","10,53,61",95,,,2.15,1.97,3.48,4.43
E0,26/12/2017,Bournemouth,West Ham,3,3,"29,57,92","7,81,89",96,,,2.11,2.56,3.22,3.13
E0,26/12/2017,Chelsea,Brighton,2,0,"46,6",,93,,,1.66,1.17,8.4,21.5
E0,26/12/2017,Huddersfield,Stoke,1,1,10,60,95,,,2.3,2.35,3.23,3.51
E0,26/12/2017,Liverpool,Swansea,5,0,"6,52,65,66,83",,93,,,1.4,1.14,10.5,21
E0,26/12/2017,Man United,Burnley,2,2,"53,91","3,36",95,,,1.75,1.26,6.3,14.5
E0,26/12/2017,Tottenham,Southampton,5,2,"22,39,49,51,67","64,82",93,,,1.69,1.33,5.8,10.2
E0,26/12/2017,Watford,Leicester,2,1,"45,65",37,93,,,1.76,2.7,3.46,2.78
E0,26/12/2017,West Brom,Everton,0,0,,,93,,,2.49,2.25,3.16,3.85
E0,27/12/2017,Newcastle,Man City,0,1,,31,93,,,1.44,13,7.25,1.24
E0,28/12/2017,Crystal Palace,Arsenal,2,3,"49,89","25,62,66",94,,,1.62,4.82,4.33,1.72
E0,30/12/2017,Bournemouth,Everton,2,1,"33,88",57,95,,,2.11,2.36,3.13,3.6
E0,30/12/2017,Chelsea,Stoke,5,0,"3,9,23,73,88",,92,,,1.46,1.15,9.75,21
E0,30/12/2017,Huddersfield,Burnley,0,0,,,93,,,2.72,2.44,3.03,3.58
E0,30/12/2017,Liverpool,Leicester,2,1,"52,76",3,94,,,1.4,1.27,7.1,11
E0,30/12/2017,Man United,Southampton,0,0,,,93,,,1.75,1.36,5.3,10.5
E0,30/12/2017,Newcastle,Brighton,0,0,,,93,,,2.45,2.16,3.22,4.05
E0,30/12/2017,Watford,Swansea,1,2,11,"86,9",94,,,2.06,1.85,3.57,5.01
E0,31/12/2017,Crystal Palace,Man City,0,0,,,97,,,1.4,10.85,5.8,1.32
E0,31/12/2017,West Brom,Arsenal,1,1,89,83,95,,,1.82,5.7,4.19,1.65
E0,01/01/2018,Brighton,Bournemouth,2,2,"5,48","33,79",93,,,2.46,2.47,3.05,3.48
E0,01/01/2018,Burnley,Liverpool,1,2,87,"61,93",95,,,1.8,6.6,3.8,1.65
E0,01/01/2018,Everton,Man United,0,2,,"57,81",93,,,2.29,5.6,3.89,1.71
E0,01/01/2018,Leicester,Huddersfield,3,0,"53,60,91",,93,,,2,1.83,3.52,5.23
E0,01/01/2018,Stoke,Newcastle,0,1,,73,94,,,2.07,2.31,3.28,3.54
E0,02/01/2018,Man City,Watford,3,1,"1,13,63",82,94,,,1.33,1.13,10.8,21.5
E0,02/01/2018,Southampton,Crystal Palace,1,2,17,"69,8",93,,,2.02,2.07,3.37,4.16
E0,02/01/2018,Swansea,Tottenham,0,2,,"12,89",93,,,1.75,8.02,4.51,1.48
E0,02/01/2018,West Ham,West Brom,2,1,"59,93",30,95,,,2.36,2.19,3.21,3.98
E0,03/01/2018,Arsenal,Chelsea,2,2,"63,91","67,84",94,,,1.65,3.32,3.42,2.34
E0,04/01/2018,Tottenham,West Ham,1,1,84,70,94,,,1.55,1.29,6.1,12.2
E0,13/01/2018,Chelsea,Leicester,0,0,,,94,,68,1.55,1.3,5.72,13
E0,13/01/2018,Crystal Palace,Burnley,1,0,21,,94,,,2.38,2.18,3.22,3.98
E0,13/01/2018,Huddersfield,West Ham,1,4,40,"25,46,56,61",92,,,2.48,2.94,3.11,2.79
E0,13/01/2018,Newcastle,Swansea,1,1,68,60,94,,,2.35,1.76,3.75,5.4
E0,13/01/2018,Tottenham,Everton,4,0,"26,47,59,81",,92,,,1.7,1.28,6.12,12.61
E0,13/01/2018,Watford,Southampton,2,2,"58,9","20,44",95,,,1.94,2.79,3.35,2.75
E0,13/01/2018,West Brom,Brighton,2,0,"4,55",,95,,,2.91,2.17,3.14,4.15
E0,14/01/2018,Bournemouth,Arsenal,2,1,"70,74",52,94,,,1.51,3.81,3.61,2.08
E0,14/01/2018,Liverpool,Man City,4,3,"9,59,62,68","41,84,91",94,,,1.52,3.22,3.62,2.31
E0,15/01/2018,Man United,Stoke,3,0,"9,38,72",,92,,,1.5,1.22,7.2,15.8
E0,20/01/2018,Arsenal,Crystal Palace,4,1,"6,10,13,22",78,94,,,1.59,1.44,4.97,7.85
E0,20/01/2018,Brighton,Chelsea,0,4,,"3,6,77,89",93,,,2.19,7,3.85,1.62
E0,20/01/2018,Burnley,Man United,0,1,,54,96,,,2.18,7.5,4.05,1.56
E0,20/01/2018,Everton,West Brom,1,1,70,7,97,,,2.52,2.59,2.97,3.37
E0,20/01/2018,Leicester,Watford,2,0,"39,91",,93,,,1.74,1.76,3.91,5.05
E0,20/01/2018,Man City,Newcastle,3,1,"34,63,83",67,93,,,1.3,1.12,11,28.5
E0,20/01/2018,Stoke,Huddersfield,2,0,"53,69",,94,,,2.21,2.04,3.47,4.12
E0,20/01/2018,West Ham,Bournemouth,1,1,73,71,96,,,1.87,2.37,3.37,3.32
E0,21/01/2018,Southampton,Tottenham,1,1,15,18,95,,,1.81,4.6,3.76,1.86
E0,22/01/2018,Swansea,Liverpool,1,0,40,,94,,,1.66,11.68,5.87,1.31
E0,30/01/2018,Huddersfield,Liverpool,0,3,,"26,46,78",93,,,1.68,10.95,5.49,1.34
E0,30/01/2018,Swansea,Arsenal,3,1,"34,61,86",33,93,,,1.76,7.1,4.3,1.55
E0,30/01/2018,West Ham,Crystal Palace,1,1,43,24,93,,,2.14,3.1,3.2,2.59
E0,31/01/2018,Chelsea,Bournemouth,0,3,,"51,64,67",94,,,1.52,1.37,5.25,10.11
E0,31/01/2018,Everton,Leicester,2,1,"25,39",71,94,,,2.22,2.78,3.16,2.9
E0,31/01/2018,Man City,West Brom,3,0,"19,68,89",,94,,,1.44,1.15,9.1,23.5
E0,31/01/2018,Newcastle,Burnley,1,1,65,85,94,,,2.58,2.21,3.19,3.95
E0,31/01/2018,Southampton,Brighton,1,1,64,14,93,,,2.36,1.85,3.42,5.27
E0,31/01/2018,Stoke,Watford,0,0,,,94,,,1.84,2.18,3.55,3.58
E0,31/01/2018,Tottenham,Man United,2,0,"1,28",,93,,,1.92,2.42,3.4,3.19
E0,03/02/2018,Arsenal,Everton,5,1,"6,14,19,37,74",64,92,,,1.57,1.37,5.45,9.5
E0,03/02/2018,Bournemouth,Stoke,2,1,"70,79",5,94,,,1.83,1.93,3.65,4.41
E0,03/02/2018,Brighton,West Ham,3,1,"8,59,75",30,94,,,2.56,2.26,3.08,3.95
E0,03/02/2018,Burnley,Man City,1,1,82,22,93,,,1.68,13.5,5.65,1.3
E0,03/02/2018,Leicester,Swansea,1,1,17,53,94,,,2.08,1.85,3.49,5.18
E0,03/02/2018,Man United,Huddersfield,2,0,"55,68",,93,,,1.57,1.22,7.2,17
E0,03/02/2018,West Brom,Southampton,2,3,"4,72","40,43,55",96,,,2.33,2.96,3.12,2.76
E0,04/02/2018,Crystal Palace,Newcastle,1,1,55,22,94,,,2.14,2.12,3.31,4.06
E0,04/02/2018,Liverpool,Tottenham,2,2,"3,91","80,94",95,,,1.59,2.01,3.84,3.81
E0,05/02/2018,Watford,Chelsea,4,1,"42,84,88,91",82,96,,30,1.85,6.95,4.5,1.53
E0,10/02/2018,Everton,Crystal Palace,3,1,"46,51,75",83,93,,,2.25,2.11,3.32,4.09
E0,10/02/2018,Man City,Leicester,5,1,"3,48,53,77,90",24,93,,,1.38,1.24,6.7,15.5
E0,10/02/2018,Stoke,Brighton,1,1,68,32,93,,,2.35,2.43,3.18,3.39
E0,10/02/2018,Swansea,Burnley,1,0,81,,94,,,2.76,2.37,3.03,3.71
E0,10/02/2018,Tottenham,Arsenal,1,0,49,,94,,,1.5,1.93,3.9,4.07
E0,10/02/2018,West Ham,Watford,2,0,"38,78",,93,,,1.98,2.38,3.36,3.3
