Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,goal_time_h,goal_time_a,finished,red_cards_h,red_cards_a,BbAv>2.5,PSCH,PSCD,PSCA
E0,01/12/2018,Southampton,Man United,2,2,"13,2","33,39",95,,,1.89,4.29,3.58,1.97
E0,02/12/2018,Arsenal,Tottenham,4,2,"10,56,74,77","30,34",96,,85,1.56,2.94,3.53,2.53
E0,02/12/2018,Chelsea,Fulham,2,0,"4,82",,93,,,1.35,1.2,7.59,14.82
E0,02/12/2018,Liverpool,Everton,1,0,95,,96,,,1.62,1.47,4.49,8.31
E0,04/12/2018,Bournemouth,Huddersfield,2,1,"5,22",38,96,,,1.92,1.74,3.72,5.65
E0,04/12/2018,Brighton,Crystal Palace,3,1,"24,31,45",81,95,28,,2.45,3.14,2.95,2.77
E0,04/12/2018,Watford,Man City,1,2,85,"40,51",94,,,1.5,9.33,5.38,1.37
E0,04/12/2018,West Ham,Cardiff,3,1,"49,54,61",94,95,,,1.79,1.7,3.94,5.59
E0,05/12/2018,Burnley,Liverpool,1,3,54,"62,69,91",94,,,1.62,11.43,5.21,1.33
E0,05/12/2018,Everton,Newcastle,1,1,38,19,95,,,1.95,1.49,4.37,8.17
E0,05/12/2018,Fulham,Leicester,1,1,42,74,94,,,1.79,2.75,3.36,2.8
E0,05/12/2018,Man United,Arsenal,2,2,"30,69","26,68",96,,,1.62,2.44,3.52,3.07
E0,05/12/2018,Tottenham,Southampton,3,1,"5,51,55",92,93,,,1.66,1.34,5.45,10.73
E0,05/12/2018,Wolves,Chelsea,2,1,"59,63",18,95,,,1.91,6.01,3.94,1.66
E0,08/12/2018,Arsenal,Huddersfield,1,0,83,,97,,,1.55,1.3,5.74,12.4
E0,08/12/2018,Bournemouth,Liverpool,0,4,,"25,48,68,77",95,,,1.61,7.43,4.72,1.48
E0,08/12/2018,Burnley,Brighton,1,0,40,,95,,,2.41,2.98,3.11,2.77
E0,08/12/2018,Cardiff,Southampton,1,0,74,,93,,,2.15,3.3,3.28,2.44
E0,08/12/2018,Chelsea,Man City,2,0,"45,78",,94,,,1.69,3.56,3.47,2.22
E0,08/12/2018,Leicester,Tottenham,0,2,,"46,58",93,,,1.81,4.34,3.49,1.99
E0,08/12/2018,Man United,Fulham,4,1,"13,28,42,82",67,93,,68,1.57,1.39,5.09,9.42
E0,08/12/2018,West Ham,Crystal Palace,3,2,"48,62,65","6,76",94,,,1.96,2.32,3.54,3.27
E0,09/12/2018,Newcastle,Wolves,1,2,23,"17,93",96,57,,2.37,2.97,3.05,2.83
E0,10/12/2018,Everton,Watford,2,2,"15,95","63,65",96,,,1.89,1.69,3.92,5.7
E0,15/12/2018,Crystal Palace,Leicester,1,0,39,,94,,,2.34,2.73,3.2,2.94
E0,15/12/2018,Fulham,West Ham,0,2,,"17,29",93,,,1.63,3.12,3.56,2.4
E0,15/12/2018,Huddersfield,Newcastle,0,1,,55,94,,,2.57,2.64,3.07,3.19
E0,15/12/2018,Man City,Everton,3,1,"22,50,69",65,94,,,1.38,1.23,6.83,13.15
E0,15/12/2018,Tottenham,Burnley,1,0,91,,95,,,1.43,1.2,6.92,18.03
E0,15/12/2018,Watford,Cardiff,3,2,"16,52,68","80,82",95,,,1.94,1.68,3.9,5.86
E0,15/12/2018,Wolves,Bournemouth,2,0,"12,93",,95,,,1.89,2.02,3.45,4.24
