Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,goal_time_h,goal_time_a,finished,red_cards_h,red_cards_a,BbAv>2.5,PSCH,PSCD,PSCA
P1,28/01/2019,Moreirense,Nacional,2,1,"15,56",87,94,,91,1.99,1.68,4.11,5.25
P1,28/01/2019,Tondela,Aves,0,2,,"58,73",93,39,,2.11,2.35,3.29,3.38
P1,29/01/2019,Benfica,Boavista,5,1,"9,28,54,72,86",42,92,,,1.58,1.2,7.03,18.03
P1,29/01/2019,Portimonense,Chaves,0,1,,38,96,,,1.93,1.78,3.75,4.99
P1,29/01/2019,Sp Braga,Santa Clara,1,0,56,,93,,,1.7,1.27,5.95,12.49
P1,30/01/2019,Porto,Belenenses,3,0,"5,29,71",,93,,"60,87",1.51,1.16,8.03,19.6
P1,30/01/2019,Setubal,Sp Lisbon,1,1,24,80,98,,55,1.99,5.14,3.51,1.83
P1,01/02/2019,Rio Ave,Tondela,2,2,"9,74","24,52",95,95,60,1.9,2,3.65,3.95
P1,02/02/2019,Aves,Sp Braga,0,2,,"60,66",93,,,1.91,4.9,3.74,1.79
P1,02/02/2019,Boavista,Feirense,2,0,"56,82",,94,76,,2.79,2.08,3.1,4.48
P1,02/02/2019,Chaves,Maritimo,1,0,69,,95,,,2.32,2.04,3.32,4.27
P1,03/02/2019,Guimaraes,Porto,0,0,,,98,,,2.06,6.8,3.59,1.66
P1,03/02/2019,Nacional,Setubal,0,0,,,95,,,2.06,2.41,3.31,3.25
P1,03/02/2019,Santa Clara,Portimonense,2,1,"45,74",33,93,,29,2.07,2.74,3.53,2.66
P1,03/02/2019,Sp Lisbon,Benfica,2,4,"43,89","11,36,47,73",97,,85,2.08,3.44,3.39,2.27
P1,04/02/2019,Belenenses,Moreirense,0,1,,70,94,,,2.29,3.19,3.1,2.57
P1,08/02/2019,Moreirense,Porto,1,1,79,91,99,,,2.02,8.66,4.15,1.48
P1,09/02/2019,Maritimo,Aves,0,1,,20,94,,,2.31,2.35,3.19,3.49
P1,09/02/2019,Portimonense,Rio Ave,0,1,,31,96,,,1.83,2.04,3.66,3.81
P1,09/02/2019,Tondela,Guimaraes,1,0,56,,93,,,2.19,3,3.35,2.55
P1,10/02/2019,Benfica,Nacional,10,0,"1,21,27,50,54,56,64,85,88,90",,91,,,1.35,1.13,9.77,20.67
P1,10/02/2019,Boavista,Santa Clara,1,0,59,,94,,,2.46,2.19,3.19,3.92
