Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,goal_time_h,goal_time_a,finished,red_cards_h,red_cards_a,BbAv>2.5,PSCH,PSCD,PSCA
P1,17/02/18,Benfica,Boavista,4,0,"18,44,78,90",,92,,,1.57,1.22,6.7,17
P1,17/02/18,Estoril,Belenenses,0,2,,"17,6",94,52,,2.15,2.19,3.38,3.66
P1,18/02/18,Guimaraes,Sp Braga,0,5,,"13,34,44,49,61",91,31,,1.98,3.24,3.29,2.43
P1,18/02/18,Moreirense,Chaves,0,1,,74,95,71,,2.2,2.57,3.2,3.09
P1,18/02/18,Porto,Rio Ave,5,0,"2,22,34,72,84",,92,,,1.47,1.16,8.65,21
P1,18/02/18,Setubal,Pacos Ferreira,1,0,50,,94,,,2.28,2.34,3.21,3.49
P1,19/02/18,Tondela,Sp Lisbon,1,2,13,"26,98",99,99,60,1.94,10.99,5.13,1.35
P1,21/02/18,Estoril,Porto,1,3,17,"53,59,67",93,,,1.57,14.5,6.9,1.23
P1,23/02/18,Rio Ave,Aves,0,0,,,95,83,,2.01,2.09,3.56,3.77
P1,24/02/18,Belenenses,Feirense,1,0,54,,94,,,2.3,1.87,3.37,5.2
P1,24/02/18,Maritimo,Guimaraes,3,2,"13,22,26","15,7",94,,,2.16,2.41,3.26,3.31
P1,24/02/18,Pacos Ferreira,Benfica,1,3,9,"72,88,93",97,91,,1.74,8.65,5,1.41
P1,25/02/18,Boavista,Setubal,4,0,"12,46,53,71",,93,,,2.43,2.16,3.21,3.98
P1,25/02/18,Chaves,Estoril,2,0,"17,84",,98,,,2.04,2,3.58,4.06
P1,25/02/18,Portimonense,Porto,1,5,91,"10,16,44,59,66",92,,,1.63,9.29,5.2,1.38
P1,26/02/18,Sp Braga,Tondela,1,0,83,,93,,,1.74,1.36,5.39,9.47
P1,26/02/18,Sp Lisbon,Moreirense,1,0,91,,94,92,,1.62,1.21,7.12,17
P1,02/03/18,Porto,Sp Lisbon,2,1,"28,49",46,95,,,2.05,1.6,4.02,6.58
P1,03/03/18,Benfica,Maritimo,5,0,"16,22,35,42,81",,92,,57,1.46,1.13,9.85,24
P1,03/03/18,Estoril,Sp Braga,0,6,,"7,44,45,68,77,92",94,,,1.9,4.13,3.77,1.93
P1,03/03/18,Feirense,Boavista,3,0,"29,55,92",,93,,,2.58,3.1,2.96,2.75
P1,04/03/18,Guimaraes,Belenenses,0,0,,,93,,,1.98,2.03,3.52,4.09
P1,04/03/18,Moreirense,Pacos Ferreira,2,0,"42,93",,96,,,2.29,2.41,2.99,3.62
P1,04/03/18,Setubal,Rio Ave,1,0,48,,94,75,,2.2,2.66,3.11,3.05
P1,04/03/18,Tondela,Chaves,2,0,"43,96",,97,,,2.11,2.6,3.29,2.97
P1,05/03/18,Aves,Portimonense,3,0,"26,47,83",,93,,,1.92,2.17,3.46,3.63
P1,09/03/18,Sp Braga,Moreirense,3,0,"14,64,66",,92,,,1.86,1.52,4.45,6.95
P1,10/03/18,Benfica,Aves,2,0,"71,75",,93,,,1.38,1.19,8.15,16.2
P1,10/03/18,Boavista,Estoril,1,0,85,,95,,,2.15,2.1,3.33,4.01
P1,10/03/18,Rio Ave,Feirense,2,1,"57,86",8,94,,,2.12,1.65,3.84,6.27
P1,11/03/18,Belenenses,Tondela,0,0,,,94,,,2.24,1.89,3.48,4.79
P1,11/03/18,Maritimo,Setubal,4,2,"8,31,46,70","63,91",97,,,2.39,2.28,3.09,3.73
P1,11/03/18,Pacos Ferreira,Porto,1,0,"18,59",22,96,,30,1.64,16.09,6.31,1.24
P1,11/03/18,Portimonense,Guimaraes,2,1,"18,59",22,96,,30,1.84,2.17,3.61,3.47
P1,12/03/18,Chaves,Sp Lisbon,1,2,91,"62,86",93,,,1.93,5.68,3.83,1.69
P1,16/03/18,Setubal,Portimonense,1,1,2,14,94,,,2.02,2.43,3.17,3.36
P1,17/03/18,Estoril,Pacos Ferreira,1,1,1,55,94,,,2.02,2.23,3.46,3.47
P1,17/03/18,Feirense,Benfica,0,2,,"59,75",93,86,,1.7,13.8,5.8,1.28
P1,17/03/18,Porto,Boavista,2,0,"2,62",,94,,,1.49,1.16,8.3,25.5
P1,17/03/18,Tondela,Maritimo,1,2,10,"41,53",95,,,2.34,2.3,3.23,3.56
P1,18/03/18,Chaves,Sp Braga,1,4,76,"27,38,73,91",93,,,1.95,3.97,3.71,1.99
P1,18/03/18,Guimaraes,Aves,2,1,"7,71",39,96,,,1.94,2.13,3.42,3.79
P1,18/03/18,Moreirense,Belenenses,2,1,"27,84",49,92,,,2.39,2.37,3.11,3.55
P1,18/03/18,Sp Lisbon,Rio Ave,2,0,"24,84",,92,,,1.63,1.26,6.5,13.39
P1,29/03/18,Aves,Setubal,1,4,44,"58,70,77,85",92,,,2.14,2.06,3.34,4.16
P1,30/03/18,Boavista,Tondela,1,1,31,39,94,,,2.28,2.15,3.19,4.08
P1,30/03/18,Maritimo,Feirense,4,1,"51,53,60",66,92,,,2.23,1.69,3.55,6.6
P1,30/03/18,Rio Ave,Estoril,2,0,"12,39",,96,,91,1.85,1.9,3.85,4.18
P1,31/03/18,Benfica,Guimaraes,2,0,"46,78",,93,,,1.38,1.12,10.2,20.8
P1,31/03/18,Pacos Ferreira,Chaves,2,0,"28,54",,93,,,2.12,2.21,3.28,3.66
P1,31/03/18,Portimonense,Moreirense,4,3,"56,64,90,93","38,40,52",99,,"91,95,99",2.01,2.11,3.23,4.06
P1,31/03/18,Sp Braga,Sp Lisbon,1,0,87,,96,89,83,2.1,3.38,3.52,2.24
P1,02/04/18,Belenenses,Porto,2,0,"10,7",,96,,,1.7,13,5.6,1.3
P1,06/04/18,Guimaraes,Rio Ave,3,0,"22,29,41",,92,,,1.89,2.08,3.56,3.81
P1,07/04/18,Estoril,Maritimo,1,1,31,52,99,,,2.05,2.25,3.37,3.54
P1,07/04/18,Feirense,Sp Braga,2,2,"61,91","30,82",95,,,1.92,5.6,4.3,1.6
P1,07/04/18,Setubal,Benfica,1,2,3,"28,91",96,,,1.69,11.8,4.85,1.36
P1,07/04/18,Tondela,Portimonense,2,2,"24,38","20,54",94,,,1.95,2.69,3.31,2.84
P1,08/04/18,Chaves,Belenenses,1,1,66,62,94,,,2.24,2.05,3.4,4.11
P1,08/04/18,Porto,Aves,2,0,"8,11",,95,,,1.41,1.13,10.1,25.38
P1,08/04/18,Sp Lisbon,Pacos Ferreira,2,0,"20,65",,94,,,1.45,1.29,5.78,9.52
P1,09/04/18,Moreirense,Boavista,1,0,52,,94,,,2.46,2.16,3.12,4.07
P1,13/04/18,Pacos Ferreira,Sp Braga,1,5,57,"17,20,62,72,91",92,7,,1.82,4.95,3.78,1.79
P1,14/04/18,Aves,Feirense,1,0,6,,95,,,2.05,1.89,3.6,4.56
