Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,goal_time_h,goal_time_a,finished,red_cards_h,red_cards_a,BbAv>2.5,PSCH,PSCD,PSCA
I1,17/12/17,Crotone,Chievo,1,0,33,,94,91,,2.18,3.04,3.05,2.75
I1,17/12/17,Fiorentina,Genoa,0,0,,,93,,,1.75,1.81,3.57,5.29
I1,17/12/17,Sampdoria,Sassuolo,0,1,,90,97,,,1.63,2,3.7,3.96
I1,17/12/17,Verona,Milan,3,0,"24,55,77",,94,,91,1.65,6.86,4.34,1.55
I1,22/12/17,Cagliari,Fiorentina,0,1,,82,99,92,,1.96,3.39,3.37,2.33
I1,22/12/17,Chievo,Bologna,2,3,"32,85","4,50,90",97,,81,2.2,2.68,3.11,3.07
I1,23/12/17,Genoa,Benevento,1,0,91,,95,,,1.81,1.49,4.5,7.98
I1,23/12/17,Juventus,Roma,1,0,18,,95,,,1.99,1.73,3.89,5.43
I1,23/12/17,Lazio,Crotone,4,0,"56,78,86,89",,92,,,1.52,1.27,6.25,13.31
I1,23/12/17,Milan,Atalanta,0,2,,"32,71",94,,,1.95,2.55,3.4,2.95
I1,23/12/17,Napoli,Sampdoria,3,2,"16,33,39","2,27",93,77,,1.42,1.21,7.58,15.71
I1,23/12/17,Sassuolo,Inter,1,0,34,,96,,,1.77,5.51,3.91,1.71
I1,23/12/17,Spal,Torino,2,2,"42,69","1,1",95,,,1.88,3.15,3.33,2.49
I1,23/12/17,Udinese,Verona,4,0,"27,44,68,80",,92,,,1.78,1.76,4.01,4.96
I1,29/12/17,Crotone,Napoli,0,1,,17,94,,,1.62,16.25,7.35,1.22
I1,30/12/17,Atalanta,Cagliari,1,2,91,"6,23",95,,94,1.74,1.46,4.67,8.27
I1,30/12/17,Benevento,Chievo,1,0,64,,95,,,2,3.01,3.4,2.54
I1,30/12/17,Bologna,Udinese,1,2,27,"37,48",97,,,2.1,2.5,3.14,3.32
I1,30/12/17,Fiorentina,Milan,1,1,71,74,93,,,1.88,2.48,3.39,3.11
I1,30/12/17,Inter,Lazio,0,0,,,94,,,1.7,2.38,3.55,3.14
I1,30/12/17,Roma,Sassuolo,1,1,31,78,94,,,1.48,1.27,6.6,12.63
I1,30/12/17,Sampdoria,Spal,2,0,"91,93",,96,,,1.72,1.89,3.56,4.76
I1,30/12/17,Torino,Genoa,0,0,,,93,,,1.99,2.37,3.23,3.46
I1,30/12/17,Verona,Juventus,1,3,59,"6,72,77",94,,,1.66,18.5,7.35,1.2
I1,05/01/18,Chievo,Udinese,1,1,9,41,93,,,2.03,3.4,3.19,2.42
I1,05/01/18,Fiorentina,Inter,1,1,91,55,94,,,1.97,2.67,3.2,3
I1,06/01/18,Benevento,Sampdoria,3,2,"69,84,91","46,93",94,,82,1.74,3.94,3.55,2.06
I1,06/01/18,Cagliari,Juventus,0,1,,74,96,,,1.78,11.05,5.31,1.35
I1,06/01/18,Genoa,Sassuolo,1,0,80,,94,,,2.14,2.46,3.13,3.4
I1,06/01/18,Milan,Crotone,1,0,54,,97,,,1.68,1.28,6.3,12.5
I1,06/01/18,Napoli,Verona,2,0,"65,78",,94,,,1.29,1.1,12.5,33
